Feature,Supported in ChatGPT,Note (ChatGPT),Supported in Bing Chat,Note (Bing Chat),Supported in Bard,Note (Bard)
Heading,Yes,N/A,Yes,N/A,Yes,N/A
Bold,Yes,N/A,Yes,N/A,Yes,N/A
Italic,Yes,N/A,Yes,N/A,Yes,N/A
Blockquote,Yes,N/A,Yes,Unclear formatting,Yes,N/A
Ordered List,Yes,N/A,Yes,N/A,Yes,N/A
Unordered List,Yes,N/A,Yes,N/A,Yes,N/A
Code,Yes,N/A,Yes,N/A,Yes,N/A
Horizontal Rule,Yes,Very faint,Yes,Invisible,Yes,N/A
Link,Yes,N/A,Yes,N/A,No,"After enough attempts of “I’m an AI model”, it generates a <p> tag rather than an <a> tag"
Image,Yes,N/A,Yes,Just inserts an empty <p> tag,No,Refuses to show an image
Table,Yes,N/A,Yes,N/A,Yes,N/A
Fenced Code Block,Yes,N/A,No,Defaults to inline. Trying to print a new line using <new line> doesn’t work,Yes,N/A
Footnote,Yes,N/A,No,Removes the superscript footnote. Prints the footnote text directly with a :,No,N/A
Heading ID,No,N/A,No,Prints the ID in the heading itself,No,Prints the ID in the heading itself
Definition List,No,N/A,No,Prints it without the <new line>,No,"Prints with new line, just as text, not as definition list"
Strikethrough,Yes,N/A,Yes,N/A,No,N/A
Task List,Yes,N/A,No,N/A,No,Prints as an unordered list due to the - at the beginning
Emoji,No,Worked once,No,N/A,No,N/A
Highlight,No,N/A,No,N/A,No,N/A
Subscript,No,N/A,No,N/A,No,N/A
Superscript,No,N/A,Yes,Appears like a footnote,No,N/A
